-2340.00;0.54;7.71
-2341.00;0.54;7.83
-2341.00;0.56;7.83
-2342.00;0.56;7.97
-2342.00;0.57;7.97
-2343.00;0.57;8.01
-2343.00;0.57;8.01
-2343.33;0.57;7.83
-2343.34;0.56;7.83
-2344.00;0.56;7.94
-2344.00;0.56;7.94
-2345.00;0.56;8.05
-2345.00;0.59;8.05
-2346.00;0.59;7.97
-2346.00;0.61;7.97
-2347.00;0.61;8.06
-2347.00;0.61;8.06
-2348.00;0.61;7.86
-2348.00;0.61;7.85
-2349.00;0.61;7.49
-2349.00;0.65;7.49
-2350.00;0.65;9.24
-2350.00;0.70;9.29
-2351.00;0.70;8.68
-2351.00;0.70;8.68
-2351.61;0.70;8.67
-2351.61;0.70;8.66
-2352.00;0.70;7.22
-2352.00;0.70;7.22
-2353.00;0.70;7.78
-2353.00;0.74;7.79
-2354.00;0.74;7.83
-2354.00;0.79;7.83
-2355.00;0.79;7.96
-2355.00;0.79;7.96
-2356.00;0.79;8.08
-2356.00;0.79;8.08
-2357.00;0.79;8.04
-2357.00;0.80;8.04
-2358.00;0.80;8.26
-2358.00;0.82;8.26
-2358.45;0.82;7.86
-2358.45;0.80;7.86
-2359.00;0.80;7.71
-2359.00;0.80;7.72
-2360.00;0.80;6.97
-2360.00;0.80;6.97
-2361.00;0.80;7.45
-2361.00;0.77;7.46
-2362.00;0.77;7.37
-2362.00;0.75;7.37
-2363.00;0.75;7.44
-2363.00;0.75;7.44
-2364.00;0.75;7.22
-2364.00;0.75;7.22
-2365.00;0.75;7.58
-2365.00;0.70;7.58
-2365.84;0.70;7.41
-2365.84;0.68;7.41
-2366.00;0.68;7.27
-2366.00;0.64;7.27
-2367.00;0.64;7.27
-2367.00;0.64;7.27
-2368.00;0.64;7.27
-2368.00;0.64;7.27
-2369.00;0.64;7.32
-2369.00;0.62;7.32
-2370.00;0.62;7.43
-2370.00;0.60;7.43
-2371.00;0.60;7.55
-2371.00;0.60;7.55
-2372.00;0.60;7.20
-2372.00;0.60;7.21
-2373.00;0.60;7.02
-2373.00;0.61;7.02
-2374.00;0.61;7.73
-2374.00;0.62;7.74
-2374.35;0.62;7.88
-2374.35;0.61;7.88
-2375.00;0.61;8.02
-2375.00;0.61;8.02
-2376.00;0.61;7.80
-2376.00;0.61;7.80
-2377.00;0.61;7.59
-2377.00;0.62;7.59
-2378.00;0.62;7.35
-2378.00;0.62;7.35
-2378.44;0.62;5.89
-2378.44;0.64;5.89
-2379.00;0.64;6.43
-2379.00;0.64;6.43
-2380.00;0.64;5.71
-2380.00;0.64;5.71
-2381.00;0.64;6.15
-2381.00;0.64;6.15
-2382.00;0.64;6.76
-2382.00;0.63;6.77
-2383.00;0.63;7.37
-2383.00;0.63;7.35
-2384.00;0.63;6.67
-2384.00;0.63;6.67
-2385.00;0.63;6.23
-2385.00;0.65;6.23
-2386.00;0.65;6.56
-2386.00;0.66;6.56
-2387.00;0.66;6.54
-2387.00;0.66;6.54
-2388.00;0.66;8.12
-2388.00;0.66;8.13
-2389.00;0.66;8.76
-2389.00;0.71;8.78
-2390.00;0.71;9.88
-2390.00;0.76;9.88
-2391.00;0.76;6.66
-2391.00;0.76;6.67
-2391.29;0.76;6.75
-2391.29;0.79;6.75
-2392.00;0.79;11.85
-2392.00;0.79;11.86
-2393.00;0.79;8.70
-2393.00;0.84;8.70
-2393.99;0.84;6.42
-2393.99;0.82;6.42
-2394.00;0.82;6.41
-2394.00;0.88;6.41
-2395.00;0.88;7.44
-2395.00;0.88;7.44
-2396.00;0.88;9.94
-2396.00;0.88;9.92
-2397.00;0.88;7.49
-2397.00;0.87;7.49
-2398.00;0.87;8.33
-2398.00;0.86;8.33
-2399.00;0.86;7.91
-2399.00;0.86;7.90
-2400.00;0.86;7.62
-2400.00;0.86;7.62
-2401.00;0.86;7.49
-2401.00;0.76;7.49
-2402.00;0.76;7.59
-2402.00;0.66;7.59
-2402.98;0.66;7.36
-2402.98;0.63;7.36
-2403.00;0.63;7.39
-2403.00;0.63;7.39
-2404.00;0.63;7.39
-2404.00;0.63;7.39
-2405.00;0.63;7.49
-2405.00;0.47;7.49
-2406.00;0.47;7.55
-2406.00;0.31;7.55
-2407.00;0.31;6.92
-2407.00;0.31;6.92
-2408.00;0.31;12.72
-2408.00;0.31;12.71
-2409.00;0.31;9.61
-2409.00;0.18;9.61
-2410.00;0.18;5.74
-2410.00;0.05;5.74
-2411.00;0.05;6.25
-2411.00;0.05;6.24
-2412.00;0.05;6.26
-2412.00;0.05;6.26
-2412.65;0.05;6.41
-2412.65;0.02;6.41
-2413.00;0.02;6.46
-2413.00;0.02;6.46
-2413.19;0.02;6.37
-2413.19;0.03;6.37
-2414.00;0.03;6.47
-2414.00;0.00;6.47
-2415.00;0.00;6.47
-2415.00;0.00;6.47
-2416.00;0.00;6.75
-2416.00;0.00;6.75
-2417.00;0.00;6.28
-2417.00;0.10;6.28
-2418.00;0.10;9.41
-2418.00;0.21;9.42
-2419.00;0.21;9.61
-2419.00;0.21;9.61
-2420.00;0.21;9.58
-2420.00;0.21;9.58
-2420.67;0.21;9.53
-2420.67;0.25;9.53
-2421.00;0.25;10.04
-2421.00;0.40;10.04
-2422.00;0.40;9.34
-2422.00;0.56;9.32
-2423.00;0.56;10.97
-2423.00;0.56;10.97
-2424.00;0.56;10.71
-2424.00;0.56;10.71
-2425.00;0.56;9.82
-2425.00;0.63;9.81
-2426.00;0.63;9.83
-2426.00;0.70;9.83
-2427.00;0.70;10.61
-2427.00;0.70;10.61
-2428.00;0.70;8.24
